naam,stadsdeel,straat,huisnr,postcode,lat,long
BEST WESTERN BLUE SQUARE HOTEL,Nieuw-West,SLOTERMEERLAAN,80,1064HD,52.3786823,4.8207833
NIEUW SLOTANIA HOTEL,Nieuw-West,SLOTERMEERLAAN,133,1063JN,52.3810887,4.8207379
AMSTERDAM IDENTITY APARTMENTS,Nieuw-West,BARAJASWEG,10-,1043CP,52.3871132,4.8338463
HOLIDAY INN EXPRESS AMSTERDAM SLOTERDIJK STATION,Nieuw-West,ZAVENTEMWEG,3,1043EH,52.3884378,4.8376426
MEININGER AMSTERDAM CITY WEST,Nieuw-West,ORLYPLEIN,1-67,1043DR,52.3906518,4.8374803
AMSTEL BOTEL,Noord,NDSM PIER3-4 TEGENOVER C.S.,,1033RG,52.3702157,4.8951679
OUDE TAVEERNE-DE- Hotel-Restaurant,Noord,DURGERDAMMERDIJK,73,1026CB,52.3774518,4.9886161
Isis Hotel,Noord,Spreeuwenpark,17,1021GS,52.3842301,4.9134103
NH GALAXY,Noord,DISTELKADE,21,1031XP,52.3923684,4.9110442
ZWAAN HOTEL-DE,Noord,DORPSWEG RANSDORP,70,1028BR,52.3935677,4.9943183
BASTION HOTEL AMSTERDAM CENTRUM-NOORD,Noord,RODE KRUISSTRAAT,28,1025KN,52.3961011,4.9286379
Faralda NDSM Kraanhotel Amsterdam,Noord,NDSM-plein,78,1033WB,52.3993864,4.8948412
Brooklyn hotel,Noord,NDSM - Plein,28,1033WB,52.4001978,4.8936893
KWINT-B&B,Noord,KOMETENSINGEL,187,1033BE,52.4146317,4.8863048
MERCURE HOTEL AMSTERDAM CITY,Oost,JOAN MUYSKENWEG,10,1096CJ,52.3351821,4.9138687
CASA 400 AMSTERDAM HOTEL,Oost,1E RINGDIJKSTRAAT,4,1097BC,52.3499067,4.9184978
EDEN AMSTERDAM MANOR HOTEL,Oost,LINNAEUSSTRAAT,89,1093EK,52.3591348,4.9263433
AMSTERDAM OOSTERPARK INN,Oost,OOSTERPARK,71,1092AS,52.3594007,4.9227653
OOSTERPARK HOTEL,Oost,OOSTERPARK,72,1092AS,52.3594357,4.9229086
EASTERN PARK APARTMENTS SUITES,Oost,WIJTTENBACHSTRAAT,30,1093JC,52.3604412,4.9268613
ARENA HOTEL,Oost,'S-GRAVESANDESTRAAT,51,1092AA,52.3612332,4.9163277
TROPEN HOTEL-NH,Oost,LINNAEUSSTRAAT,2C,1092CK,52.3617405,4.9226323
LA CORTE SCONTA,Oost,BRIGANTIJNKADE,20-,1086VB,52.3641505,4.9858801
STAYOKAY ZEEBURG,Oost,TIMORPLEIN,21,1094CC,52.3653585,4.9357897
IJ B&B,Oost,ZEEBURGERDIJK,17 HS,1093SK,52.3659914,4.9277059
LLOYD HOTEL & CULTURELE AMBASSADE,Oost,OOSTELIJKE HANDELSKADE,34,1019BN,52.3744,4.934781
MÖVENPICK HOTEL AMSTERDAM CITY CENTRE,Oost,PIET HEINKADE,11,1019BR,52.3781016,4.9142508
AMIGO BUDGET HOSTEL,Oost,LINNEAUSSTRAAT,199,1093EP,52.3565862,4.9276652
CONSCIOUS HOTEL VONDELPARK,West,OVERTOOM,519-521,1054LH,52.3578436,4.8565299
PARCK BED & BREAKFAST,West,OVERTOOM,251,1054HW,52.3608264,4.868108
STAYOKAY AMSTERDAM VONDELPARK,West,ZANDPAD,5,1054GA,52.3611829,4.8781924
SIPERMANN HOTEL,West,ROEMER VISSCHERSTRAAT,35,1054EW,52.3612317,4.8769102
PARKZICHT HOTEL,West,ROEMER VISSCHERSTRAAT,33,1054EW,52.3612591,4.8770126
FUSION SUITES,West,ROEMER VISSCHERSTRAAT,40,1054EZ,52.3612927,4.8766721
QUENTIN-ENGELAND HOTEL-THE,West,ROEMER VISSCHERSTRAAT,30,1054EZ,52.3615347,4.8770301
HESTIA HOTEL,West,ROEMER VISSCHERSTRAAT,7,1054EV,52.3615879,4.8782274
OWL HOTEL,West,ROEMER VISSCHERSTRAAT,1-3,1054EV,52.3617031,4.8785014
ROEMER HOTEL,West,ROEMER VISSCHERSTRAAT,8-10,1054EX,52.3617577,4.8780052
BLYSS HOTEL,West,VONDELSTRAAT,74,1054GN,52.3618837,4.875558
LEIDSE SQUARE HOTEL A'DAM- BEST WESTERN,West,TESSELSCHADESTRAAT,23,1054ET,52.3620794,4.8782684
ALEXANDER HOTEL,West,VONDELSTRAAT,44-46,1054GE,52.3623779,4.8771651
EUROPA 92 HOTEL,West,1E C HUYGENSSTR,103-105,1054BV,52.3624739,4.8756948
AMSTERDAM MARRIOTT HOTEL,West,STADHOUDERSKADE,12,1054ES,52.3624756,4.8798508
PRINSEN HOTEL,West,VONDELSTRAAT,36-38,1054GE,52.3625151,4.877656
VONDEL HOTEL,West,VONDELSTRAAT,26,1054GE,52.3626173,4.8779905
HOTEL ESPRESSO CITY CENTRE,West,OVERTOOM,57,1054HC,52.3627849,4.8765164
ABBA HOTEL,West,OVERTOOM,118-120,1054HM,52.362799,4.874552
PRINCESS HOTEL,West,OVERTOOM,80,1054HL,52.3629905,4.8754723
AMSTERDAM CENTRE-NH,West,STADHOUDERSKADE,7,1054ES,52.3630682,4.8794451
HOTEL IRON HORSE,West,OVERTOOM,33,1054HB,52.363117,4.8774875
HAMPSHIRE HOTEL - THEATRE DISTRICT AMSTERDAM,West,NASSAUKADE,387-390,1054AE,52.3641238,4.8783541
AMADI PARK HOTEL,West,1E C HUYGENSSTRAAT,26-G,1054BR,52.364962,4.873495
JUPITER HOTEL,West,TWEEDE HELMERSSTRAAT,14,1054CJ,52.3649758,4.8777578
CRYSTAL HOTEL,West,TWEEDE HELMERSSTRAAT,6,1054CH,52.3650296,4.8780998
D'AMSTERDAM HOTEL,West,TWEEDE HELMERSSTRAAT,4,1054CH,52.365075,4.878202
Grand Hotel Downtown,West,1e C Huygensstr,10A,1054BR,52.36513,4.8729422
NL HOTEL AMSTERDAM,West,NASSAUKADE,368,1054AB,52.365683,4.878073
LARENDE HOTEL,West,DE CLERCQSTRAAT,115,1053AJ,52.36983,4.8660264
ALP HOTEL,West,DE CLERCQSTRAAT,52,1052NH,52.3710069,4.869911
The Student Hotel Amsterdam,West,Jan van Galenstraat,335,1061AZ,52.3719163,4.836391
BLUE TOWER,West,LEEUWENDALERSWEG,21,1055JE,52.3792041,4.8457863
GOLDEN TULIP AMSTERDAM WEST,West,MOLENWERF,1,1014AG,52.385601,4.8470597
IBIS AMSTERDAM CITY WEST,West,TRANSFORMATORWEG,36,1014AK,52.3923418,4.8503
WESTCORD AMSTERDAM ART 3-STERREN,West,SPAARNDAMMERDIJK,302,1013ZX,52.392695,4.8688349
WESTCORD AMSTERDAM ART 4-STERREN,West,SPAARNDAMMERDIJK,302,1013ZX,52.392695,4.8688349
SANDTON HOTEL DE FILOSOOF,West,ANNA VAN DEN VONDELSTR,2-6,1054GZ,52.3608846,4.8694271
HOTEL MOSAIC,West,1E C HUYGENSSTRAAT,16-A,1054BR,52.3651758,4.8736688
HOLIDAY INN EXPRESS AMSTERDAM SOUTH,Zuid,ZWAANSVLIET,20,1081AP,52.3260817,4.8670649
NH MUSICA,Zuid,VAN LEIJENBERGHLAAN,221,1082GG,52.3266672,4.8800883
HTEL SERVICED APARTMENTS,Zuid,TEILINGEN,45,1082JP,52.3273621,4.8719157
ZUIVER / AMSTELPARK HOTEL,Zuid,KOENENKADE,8,1081KH,52.3311972,4.8531549
NOVOTEL AMSTERDAM CITY,Zuid,EUROPABOULEVARD,10,1083AD,52.333803,4.8884707
HOLIDAY INN AMSTERDAM,Zuid,DE BOELELAAN,2,1083HJ,52.3351951,4.8885354
CROWNE PLAZA AMSTERDAM - SOUTH,Zuid,GEORGE GERSHWINLAAN,101,1082MT,52.3357326,4.8743947
QBIC WTC AMSTERDAM,Zuid,STRAWINSKYLAAN,241,1077XX,52.3404968,4.8748007
CITIZENM HOTEL AMSTERDAM CITY,Zuid,PRINSES IRENESTRAAT,30,1077WX,52.3419432,4.8759604
VAN BONGA HOTEL-PENSION,Zuid,HOLBEINSTRAAT,1,1077VB,52.3463193,4.8754224
HOTEL VICTORIE,Zuid,VICTORIEPLEIN,42,1078PH,52.3468432,4.9028024
HAMPHSHIRE HOTEL BEETHOVEN,Zuid,BEETHOVENSTRAAT,43-51,1077HN,52.3482643,4.8773675
WYNDHAM APOLLO AMSTERDAM,Zuid,APOLLOLAAN,2,1077BA,52.3486098,4.8844292
OKURA HOTEL AMSTERDAM,Zuid,FERDINAND BOLSTRAAT,333,1072LH,52.3487635,4.8938828
FLIPPER HOTEL,Zuid,BORSSENBURGSTRAAT,5,1078VA,52.3488892,4.9086361
SAVOY HOTEL AMSTERDAM,Zuid,FERDINAND BOLSTRAAT,194,1072LW,52.3497431,4.8911908
APOLLOFIRST A HAMPSHIRE CLASSIC HOTEL,Zuid,APOLLOLAAN,123-125,1077AP,52.350396,4.8756404
DELPHI HOTEL,Zuid,APOLLOLAAN,103-105,1077AN,52.3504551,4.8768433
BILDERBERG GARDEN HOTEL,Zuid,DIJSSELHOFPLANTSOEN,7,1077BJ,52.3511447,4.8740764
HILTON AMSTERDAM HOTEL,Zuid,APOLLOLAAN,138,1077BG,52.351381,4.872723
EASYHOTEL AMSTERDAM,Zuid,VAN OSTADESTRAAT,97,1072ST,52.3522437,4.8916619
BICYCLE HOTEL,Zuid,VAN OSTADESTRAAT,123,1072SV,52.3525497,4.8936171
AADAM WILHELMINA HOTEL,Zuid,KONINGINNEWEG,169,1075CN,52.3527164,4.8617725
COLLEGE HOTEL- THE,Zuid,ROELOF HARTSTRAAT,1,1071VE,52.3527675,4.88373
BRONCKHORST HOTEL,Zuid,BRONCKHORSTSTRAAT,14,1071WR,52.3531405,4.8809599
PENSION DE BOER-VAN ESSEN,Zuid,JOHANNES VERHULSTSTRAAT,165,1075GX,52.353263,4.8676705
SARPHATI HOTEL,Zuid,SARPHATIPARK,58,1073CZ,52.3533645,4.8954516
MEMPHIS HOTEL,Zuid,DE LAIRESSESTRAAT,87,1071NX,52.3534713,4.8718474
AALBORG HOTEL,Zuid,SARPHATIPARK,106-108,1073EC,52.3536703,4.8975732
APPLE INN HOTEL,Zuid,KONINGINNEWEG,93,1075CJ,52.3537678,4.8656791
CENTRAL PARK HOTEL,Zuid,WALDECK PYRMONTLAAN,9,1075BT,52.3538935,4.8575459
CHICO'S GUESTHOUSE,Zuid,ST.WILLIBRORDUSSTRAAT,77,1073VA,52.3540824,4.9009688
SANDER HOTEL,Zuid,JACOB OBRECHTSTRAAT,69,1071KJ,52.3541225,4.8769479
MARIANNE HOTEL,Zuid,NICOLAAS MAESSTRAAT,107,1071PV,52.3541754,4.8787968
PARK PLAZA VONDELPARK,Zuid,KONINGINNEWEG,34-36,1075CZ,52.3542655,4.8664365
JANSON HOTEL,Zuid,FRANS VAN MIERISSTRAAT,69A,1071RL,52.3542868,4.8817165
SIR ALBERT HOTEL,Zuid,ALBERT CUYPSTRAAT,2-,1072CT,52.3545002,4.8875267
M-HOTEL MUSEUMPLEIN,Zuid,FRANS VAN MIERISSTRAAT,34,1071RT,52.354591,4.8825211
CONCERT HOTEL- THE,Zuid,DE LAIRESSESTRAAT,11,1071NR,52.3548331,4.8770718
WASHINGTON HOTEL,Zuid,FRANS VAN MIERISSTRAAT,10,1071RS,52.3549147,4.8835295
CONSCIOUS HOTEL MUSEUM SQUARE,Zuid,DE LAIRESSESTRAAT,5-7,1071NR,52.3549516,4.8774521
AMSTERDAM APARTMENTS ALEXANDER'S,Zuid,RUYSDAELKADE,109,1072AN,52.3550233,4.8871894
BEMA- HOTEL HUIZE,Zuid,CONCERTGEBOUWPLEIN,19B,1071LM,52.3552899,4.878675
HOTEL ATLANTIS AMSTERDAM,Zuid,CEINTUURBAAN,215-217,1074CV,52.3553692,4.9023463
ZANDBERGEN HOTEL BV,Zuid,WILLEMSPARKWEG,205,1071HB,52.3554459,4.8691676
BORGMANN VILLA HOTEL,Zuid,KONINGSLAAN,48,1075AE,52.3555703,4.8626538
HEEMSKERK HOTEL,Zuid,JAN WILLEM BROUWERSSTR,25,1071LH,52.3558249,4.8777944
HOTUSA OMEGA HOTEL,Zuid,JACOB OBRECHTSTRAAT,33,1071KG,52.3558429,4.8757244
MUSEUM QUARTER-NH,Zuid,HOBBEMAKADE,50,1071XL,52.3560923,4.8858229
TRIANON HOTEL VOF,Zuid,JAN WILLEM BROUWERSSTR,3-7,1071LH,52.356322,4.8783495
ANNEMARIE HOTEL,Zuid,JAN WILLEM BROUWERSSTR,14,1071LJ,52.356555,4.8782851
VERDI HOTEL,Zuid,WANNINGSTRAAT,9,1071LA,52.3567767,4.8775926
INNER HOTEL,Zuid,WANNINGSTRAAT,1,1071LA,52.356967,4.8775752
ATLAS HOTEL,Zuid,VAN EEGHENSTRAAT,64,1071GK,52.3575888,4.8737386
BELFORT HOTEL,Zuid,SURINAMEPLEIN,53,1058GN,52.3576031,4.850516
IBIS STYLES AMSTERDAM AMSTEL,Zuid,STADHOUDERSKADE,131,1074AW,52.3578501,4.9003102
SEASONS HOTEL,Zuid,STADHOUDERSKADE,135,1074AZ,52.3579237,4.9007678
MAX IN MOKUM HOTEL,Zuid,HEMONYSTRAAT,7,1074BK,52.3579495,4.9021821
SYMPHONY HOTEL VIVALDI,Zuid,STADHOUDERSKADE,76,1072AE,52.3579502,4.8905527
ROOMS & CO,Zuid,HEMONYSTRAAT,1A,1074BK,52.3581201,4.9021215
SYMPHONY HOTEL PAGANINI,Zuid,STADHOUDERSKADE,68,1072AD,52.3581692,4.8897563
GOLDEN REGAL HOTEL-THE,Zuid,KORTE VAN EEGHENSTRAAT,8,1071ER,52.3583852,4.8754309
CONSERVATORIUM HOTEL AMSTERDAM,Zuid,VAN BAERLESTRAAT,27,1071AN,52.358631,4.8786236
CITY GARDEN HOTEL,Zuid,P CORNELISZ HOOFTSTR,162,1071CH,52.3592137,4.8762641
HOTEL FITA,Zuid,JAN LUIJKENSTRAAT,37,1071CL,52.3592228,4.8797217
VINCENT VAN GOGH HOTEL,Zuid,VAN DE VELDESTRAAT,5,1071CW,52.3592489,4.8800695
ACCA INTERNATIONAL HOTEL,Zuid,VAN DE VELDESTRAAT,3A,1071CW,52.3595368,4.8798804
AALDERS HOTEL,Zuid,JAN LUIJKENSTRAAT,13-15,1071CJ,52.3595597,4.8810398
HOTEL JL. NO.76,Zuid,JAN LUIJKENSTRAAT,76,1071CT,52.3595919,4.8801587
BILDERBERG HOTEL JAN LUYKEN,Zuid,JAN LUIJKENSTRAAT,58,1071CS,52.3599196,4.8810128
The Poet Hotel,Zuid,JAN LUIJKENSTRAAT,40-44,1071CR,52.3601737,4.8821086
PIET HEIN HOTEL,Zuid,VOSSIUSSTRAAT,51-53,1071AK,52.3602209,4.8780375
BOUTIQUE HOTEL PATOU,Zuid,P CORNELISZ HOOFTSTR,63,1071BN,52.3603159,4.8813876
FLYING PIG UPTOWN HOSTEL-THE,Zuid,VOSSIUSSTRAAT,46,1071AJ,52.3603214,4.8784034
BELLINGTON HOTEL,Zuid,P CORNELISZ HOOFTSTR,78,1071CB,52.3603661,4.8805699
MUSEUMZICHT HOTEL,Zuid,JAN LUIJKENSTRAAT,22,1071CN,52.3604241,4.882987
ROBERTRAMON HOTEL,Zuid,P CORNELISZ HOOFTSTR,24-28,1071BX,52.3609996,4.8829718
REMISE-LA,Zuid,NOORDERSTRAAT,74,1071TW,52.3610155,4.8949708
WIJNNOBEL HOTEL,Zuid,VOSSIUSSTRAAT,9,1071AB,52.3611527,4.8815355
HOTEL VOSSIUS VONDELPARK,Zuid,VOSSIUSSTRAAT,8,1071AB,52.3611953,4.8816133
BEST WESTERN APOLLO MUSEUMHOTEL AMSTERDAM CITY CENTRE,Zuid,P CORNELISZ HOOFTSTR,2-10,1071BX,52.3612867,4.883885
PARK HOTEL,Zuid,STADHOUDERSKADE,25,1071ZD,52.3613814,4.8832594
SKOTEL,Zuid,DE KLENCKE,109,1083HH,52.3334481,4.8847559
MUSEUM SUITES,Zuid,WILLEMSPARKWEG,113,1071GV,52.3566512,4.8730808
FLETCHER HOTEL AMSTERDAM,Zuidoost,SCHEPENBERGWEG,50,1105AT,52.2925158,4.9446653
Reijgersbroeck Bed & Breakfast,Zuidoost,Provincialeweg,30,1108AB,52.3110959,4.9995348
CAMPANILE AMSTERDAM Z.O. HOTEL,Zuidoost,LOOSDRECHTDREEF,3,1108AX,52.3111715,4.9861569
Hampton by Hilton Amsterdam Arena Boulevard,Zuidoost,Hoekenrode,1,1102BR,52.3130554,4.9477433
AC TULIP INN AMSTERDAM RIVERSIDE,Zuidoost,PROVINCIALE WEG,38,1108AB,52.3154533,4.9962997
HOSTELLE,Zuidoost,FRANKEMAHEERD,2,1102AN,52.3156469,4.9510627
B&B Apostrophe,Zuidoost,Geerdinkhof,258,1103RA,52.3261297,4.982637
